context,question,answer,hallucination
" The award is named after Kālidāsa, a renowned Classical Sanskrit writer of ancient India. His plays and poetry are primarily based on the Indian Puranas.","What did this writer primarily base his works on, who wrote in the Sanskirt language and who has an award, Kalidas Samman, named after him?",Kālidāsa primarily based his works on Indian mythology.,yes
" It is written in the villanelle poetic form and is generally included in the biographical note appended to Plath's novel, ""The Bell Jar"".The Bell Jar is the only novel written by the American writer and poet Sylvia Plath. Originally published under the pseudonym ""Victoria Lucas"" in 1963, the novel is semi-autobiographical, with the names of places and people changed.","What pseudonym did the author for this novel to which her poem ""Mad Girl's Love Song"" is included as a note?",Victoria Lucas,no
Royal Air Force North Killingholme or more simply RAF North Killingholme is a former Royal Air Force station located immediately west of the village of North Killingholme in North Lincolnshire.North Lincolnshire is a unitary authority area in the region of Yorkshire and the Humber in England.,Which unitary authority area in Yorkshire houses the RAF North Killingholme just west of it?,North Lincolnshire,no
"Orla O'Rourke is an Irish actress, best known for her role in the 2014 film ""Calvary"".Calvary is a 2014 Irish drama film written and directed by John Michael McDonagh.",Orla O'Rourke is best known for her role in a 2014 film directed by who?,John Michael McDonagh,no
"Michael Lee Amesbury (born 7 May 1969) is an English Labour Party politician. He has been the Member of Parliament (MP) for Weaver Vale since the general election in June 2017.Weaver Vale is a constituency represented in the House of Commons of the UK Parliament since 2017 by Mike Amesbury, a member of the Labour Party.",Which party does the constituency who is represented in the House of Commons of the UK Parliament belong?,The constituency is represented by the Green Party.,yes
"Melissa Bank (born in 1961 in Philadelphia) is an American author.Sir Kingsley William Amis, CBE (16 April 1922 – 22 October 1995) was an English novelist, poet, critic, and teacher.",Was Melissa Bank or Kingsley Amis an American author?,Bank (born in 1961 in Philadelphia) is an American author.,no
"The Attica Prison riot, also known as the Attica Prison rebellion or Attica Prison uprising, occurred at the Attica Correctional Facility in Attica, New York, United States in 1971. On September 9, 1971, two weeks after the killing of George Jackson at San Quentin State Prison, about 1,000 of the Attica prison's approximately 2,200 inmates rioted and took control of the prison, taking 42 staff hostage. In 1970, he was charged, along with two other Soledad Brothers, with the murder of prison guard John Vincent Mills in the aftermath of a prison fight.",At what facility did a prison riot occur in response to the death of the man charged with the murder of John Vincent Mills?,The prison riot occurred at San Quentin State Prison.,yes
" In 2017, the games will be announced by Adam Amin and Dusty Dvoracek.Dusty Dvoracek (born March 1, 1983) is a former American football nose tackle. Drafted by the Chicago Bears of the National Football League in the third round of the 2006 NFL Draft, he played college football at Oklahoma and professionally with the Bears from 2006 to 2009 and the Omaha Nighthawks of the United Football League in 2010–11.",Which former American football nose tackle who played college football at Oklahoma will announce the 2017 ESPN College Football Friday Primetime games?,Dusty Dvoracek,no
"Delbert Martin Mann Jr. (January 30, 1920 – November 11, 2007) was an American television and film director.Nunnally Hunter Johnson (December 5, 1897 – March 25, 1977) was an American filmmaker who wrote, produced, and directed motion pictures.","Delbert Mann and Nunnally Johnson, share which occupation?",director,no
"Frente!A.C. Temple were an alternative rock band from Sheffield, England, formed in 1985.","Who were an alternative rock band from Sheffield, England, formed in 1985, Frente! or A.C. Temple ?",A.C. Temple,no
" He also produced the ""Billboard"" Hot 100 No. 1-charting single ""Hey There Delilah"" by the Plain White T's in 2007. It was released in May 2006 as the third single from their third studio album ""All That We Needed"".","American rock band, Plain White T's worked with producer Ariel Rechtshaid to reach No. 1 on the ""Billboard"" Hot 100 in July 2007 for the third single of of what album?",All That We Needed,no
" Due the success of the first album and its high calibre, Christian music veteran Amy Grant and husband, Country music veteran Vince Gill both offered their talents towards the creation of this album.Vincent Grant Gill (born April 12, 1957) is an American country singer, songwriter and multi-instrumentalist. He has achieved commercial success and fame both as frontman to the country rock band Pure Prairie League in the 1970s and as a solo artist beginning in 1983, where his talents as a vocalist and musician have placed him in high demand as a guest vocalist and a duet partner.",What band was Amy Grant's husband in?,Vince Gill was not in a band.,yes
 It is a dark and moody piece; it features a sample from the movie Predator.Predator is a 1987 American science-fiction action horror film directed by John McTiernan.,"The 1993 single ""Liquid Insects"" features a sample fro a sci-fi film directed by who?","Steven Spielberg directed ""Liquid Insects.""",yes
"Cave In is an American rock band that formed in 1995, in Methuen, Massachusetts.Grandaddy is an American indie rock band from Modesto, California.","Which American rock band was formed in California, Cave In or Grandaddy?",Grandaddy,no
"Intesa Sanpaolo is a banking group resulting from the merger between Banca Intesa and Sanpaolo IMI based in Torre Intesa Sanpaolo, Turin, Italy. It is the capital city of the Metropolitan City of Turin (an administrative division of Italy) and of the Piedmont region, and was the first capital city of Italy from 1861 to 1865.",The city where Intesa Sanpaolo is based is the capital city of what region in Italy?,The city where Intesa Sanpaolo is based in Italy's capital city.,yes
"Halmich Park, is located on 13 Mile between Ryan Road and Dequindre Rd. in Warren, Michigan. The 2010 census places the city's population at 134,056, making Warren the largest city in Macomb County, the third largest city in Michigan, and Metro Detroit's largest suburb.",Halmich Park is located in what third largest city in Michigan?,"Warren, Michigan",no
" The team was coached by head football coach Mack Brown and led on the field by senior quarterback Chris Simms.Christopher David Simms (born August 29, 1980) is a former American football quarterback who played in the National Football League (NFL).","The 2002 Texas Longhorns football team represented the University of Texas at Austin in the 2002 NCAA Division I-A football season, the team was led on the field by senior quarterback Chris Simms, a former American football quarterback, who played in which organization?",National Football League (NFL),no
" It was the band's first studio album to feature bassist Jason Newsted after the death of Cliff Burton in 1986. ""Jason Curtis Newsted (born March 4, 1963) is an American metal musician, known for being the third recording bass guitarist with the band Metallica from October 1986 until his departure in January 2001, as well as being a part of Voivod and Flotsam and Jetsam.",...And Justice for All is a studio album from Metallican that was the first to feature the bassist who was also part of which other bands?,Voivod and Flotsam and Jetsam,no
" Since then, he has shown strong talent in action thriller movies through ""A Bloody Aria"" (2006), ""Seven Days"" (2007) and ""The Suspect"" (2013).The Suspect () is a 2013 South Korean spy-action thriller film starring Gong Yoo, and directed by Won Shin-yun.","Won Shin-yun, is a South Korean film director, he has shown strong talent in which 2013 South Korean spy-action thriller film?",The Suspect,no
"""Diwali"" is the sixth episode of the third season of the American comedy television series ""The Office"" and the show's 34th overall.The Office is an American television comedy series that aired on NBC from March 24, 2005, to May 16, 2013.","What network did the series that ""Diwali"" was an episode of air on?","""The Office"" was aired on ABC.",yes
"Weatherwise (ISSN 0043-1672  ) is a magazine founded by David M. Ludlum and was published by Heldref Publications but now is published by Taylor & Francis Group. It covers weather and climate for weather enthusiasts as well as meteorologists and climatologists and is the only popular press publication in the United States to do so.Lindy’s Sports, also known as Lindy's, is a sports magazine. It was established in 1982, and is located in Birmingham, Alabama.",In what country are the magazines Weatherwise and Lindy's Sports located?,The magazines Weatherwise and Lindy's Sports are headquartered in the UK.,yes
